time,type,label,probability
54.85,phrase,17,0.998
54.883,beat,65,
54.883,bar,17,
55.74,beat,66,
56.597,beat,67,
57.454,beat,68,
58.311,beat,69,
58.311,bar,18,
58.35,phrase,18,0.724
59.169,beat,70,
60.026,beat,71,
60.883,beat,72,
61.7,segment,10,0.648
61.7,phrase,19,0.992
61.74,beat,73,
61.74,bar,19,
62.597,beat,74,
63.454,beat,75,
64.311,beat,76,
65.15,phrase,20,0.768
65.169,beat,77,
65.169,bar,20,
66.026,beat,78,
66.883,beat,79,
67.74,beat,80,
68.16,word,Yeah,
68.55,section,5,0.121
68.55,segment,11,0.975
68.55,phrase,21,0.996
68.597,beat,81,
68.597,bar,21,
69.454,beat,82,
70.311,beat,83,
71.169,beat,84,
72.026,beat,85,
72.026,bar,22,
72.05,phrase,22,0.577
72.883,beat,86,
73.74,beat,87,
74.597,beat,88,
75.4,phrase,23,0.992
75.454,beat,89,
75.454,bar,23,
75.5,segment,12,0.572
76.311,beat,90,
77.169,beat,91,
78.026,beat,92,
78.85,phrase,24,0.553
78.883,beat,93,
78.883,bar,24,
79.74,beat,94,
80.597,beat,95,
81.454,beat,96,
82.25,segment,13,0.998
82.25,phrase,25,0.998
82.3,section,6,0.947
82.311,beat,97,
82.311,bar,25,
83.169,beat,98,
84.026,beat,99,
84.883,beat,100,
85.74,beat,101,
85.74,bar,26,
85.75,phrase,26,0.399
86.597,beat,102,
87.454,beat,103,
88.311,beat,104,
89.1,phrase,27,0.988
89.169,beat,105,
89.169,bar,27,
89.2,segment,14,0.166
90.026,beat,106,
90.883,beat,107,
91.74,beat,108,
92.597,beat,109,
92.597,bar,28,
92.6,phrase,28,0.301
93.454,beat,110,
94.311,beat,111,
95.169,beat,112,
95.9,phrase,29,0.994
95.95,segment,15,0.952
96.026,beat,113,
96.026,bar,29,
96.883,beat,114,
97.74,beat,115,
98.597,beat,116,
99.35,phrase,30,0.216
99.42,word,We're,
99.454,beat,117,
99.454,bar,30,
100.02,word,not,
100.08,word,saying,
100.2,word,that,
100.311,beat,118,
100.5,word,planet,
100.74,word,Earth,
101.16,word,is,
101.169,beat,119,
101.4,word,coming,
101.52,word,to,
101.76,word,an,
101.82,word,anti...,
102.026,beat,120,
102.8,phrase,31,0.99
102.883,beat,121,
102.883,bar,31,
103.74,beat,122,
103.74,word,We're,
104.597,beat,123,
105.454,beat,124,
106.2,phrase,32,0.3
106.311,beat,125,
106.311,bar,32,
106.74,word,saying,
106.86,word,that,
107.1,word,planet,
107.169,beat,126,
107.34,word,Earth,
107.82,word,is,
108.0,word,about,
108.026,beat,127,
108.12,word,to,
108.3,word,be...,
108.883,beat,128,
109.65,phrase,33,0.993
109.7,segment,16,0.982
109.74,beat,129,
109.74,bar,33,
109.75,section,7,0.797
109.8,word,Intelligent,
110.597,beat,130,
111.0,word,human,
111.454,beat,131,
111.48,word,beings,
111.78,word,should,
112.311,beat,132,
112.8,word,realize,
113.15,phrase,34,0.309
113.169,beat,133,
113.169,bar,34,
113.28,word,that,
113.58,word,everything,
114.026,beat,134,
114.24,word,has,
114.66,word,their,
114.883,beat,135,
115.32,word,cycle.,
115.74,beat,136,
116.52,word,They,
116.597,beat,137,
116.597,bar,35,
116.65,phrase,35,0.944
116.75,segment,17,0.147
116.82,word,have,
117.0,word,their,
117.18,word,season.,
117.454,beat,138,
118.311,beat,139,
118.8,word,They,
119.1,word,have,
119.169,beat,140,
119.28,word,their,
119.82,word,beginning,
120.026,beat,141,
120.026,bar,36,
120.05,phrase,36,0.401
120.54,word,they,
120.883,beat,142,
121.08,word,have,
121.26,word,their,
121.44,word,end,
121.74,beat,143,
122.04,word,they,
122.52,word,have,
122.597,beat,144,
122.7,word,something...,
123.3,segment,18,0.949
123.35,section,8,0.313
123.35,phrase,37,0.98
123.454,beat,145,
123.454,bar,37,
124.311,beat,146,
125.169,beat,147,
126.026,beat,148,
126.75,phrase,38,0.339
126.883,beat,149,
126.883,bar,38,
127.74,beat,150,
128.597,beat,151,
129.454,beat,152,
130.25,segment,19,0.271
130.25,phrase,39,0.978
130.311,beat,153,
130.311,bar,39,
131.169,beat,154,
131.52,word,And,
131.82,word,the,
132.026,beat,155,
132.06,word,more,
132.54,word,I,
132.66,word,do,
132.883,beat,156,
133.32,word,and,
133.5,word,the,
133.6,phrase,40,0.444
133.74,beat,157,
133.74,bar,40,
133.8,word,more,
134.34,word,I,
134.52,word,do,
134.597,beat,158,
134.94,word,and,
135.18,word,the,
135.42,word,more.,
135.454,beat,159,
136.311,beat,160,
136.32,word,We,
136.56,word,have,
136.68,word,cycles.,
137.15,section,9,0.957
137.15,segment,20,0.999
137.15,phrase,41,0.998
137.169,beat,161,
137.169,bar,41,
138.026,beat,162,
138.883,beat,163,
139.74,beat,164,
140.597,beat,165,
140.597,bar,42,
140.6,phrase,42,0.66
141.454,beat,166,
142.311,beat,167,
143.169,beat,168,
144.0,phrase,43,0.989
144.026,beat,169,
144.026,bar,43,
144.05,segment,21,0.646
144.883,beat,170,
145.74,beat,171,
146.597,beat,172,
147.4,phrase,44,0.721
147.454,beat,173,
147.454,bar,44,
148.311,beat,174,
149.169,beat,175,
150.026,beat,176,
150.8,section,10,0.581
150.8,segment,22,0.995
150.85,phrase,45,0.999
150.883,beat,177,
150.883,bar,45,
151.74,beat,178,
152.597,beat,179,
153.454,beat,180,
154.311,beat,181,
154.311,bar,46,
154.35,phrase,46,0.811
155.169,beat,182,
156.026,beat,183,
156.883,beat,184,
157.65,segment,23,0.688
157.7,phrase,47,0.993
157.74,beat,185,
157.74,bar,47,
158.597,beat,186,
159.454,beat,187,
160.311,beat,188,
161.1,phrase,48,0.697
161.169,beat,189,
161.169,bar,48,
162.026,beat,190,
162.883,beat,191,
163.74,beat,192,
164.5,segment,24,0.993
164.5,phrase,49,0.997
164.597,beat,193,
164.597,bar,49,
164.6,section,11,0.918
165.454,beat,194,
166.311,beat,195,
167.169,beat,196,
168.026,beat,197,
168.026,bar,50,
168.05,phrase,50,0.874
168.883,beat,198,
169.74,beat,199,
170.597,beat,200,
171.35,phrase,51,0.992
171.45,segment,25,0.694
171.454,beat,201,
171.454,bar,51,
172.311,beat,202,
173.169,beat,203,
174.026,beat,204,
174.85,phrase,52,0.89
174.883,beat,205,
174.883,bar,52,
175.74,beat,206,
176.597,beat,207,
177.454,beat,208,
177.66,word,Yes.,
178.25,section,12,0.142
178.25,segment,26,0.966
178.25,phrase,53,0.994
178.311,beat,209,
178.311,bar,53,
179.169,beat,210,
180.026,beat,211,
180.883,beat,212,
181.74,beat,213,
181.74,bar,54,
181.75,phrase,54,0.887
182.597,beat,214,
183.454,beat,215,
184.311,beat,216,
185.1,phrase,55,0.991
185.169,beat,217,
185.169,bar,55,
185.2,segment,27,0.67
186.026,beat,218,
186.883,beat,219,
187.74,beat,220,
188.5,phrase,56,0.812
188.597,beat,221,
188.597,bar,56,
189.454,beat,222,
190.311,beat,223,
191.169,beat,224,
191.95,section,13,0.77
191.95,segment,28,0.945
191.95,phrase,57,0.987
192.0,word,I've,
192.026,beat,225,
192.026,bar,57,
192.42,word,lived,
192.48,word,with,
192.66,word,vengeance,
192.883,beat,226,
193.02,word,my,
193.26,word,whole,
193.44,word,life.,
193.74,beat,227,
194.597,beat,228,
195.35,phrase,58,0.198
195.454,beat,229,
195.454,bar,58,
196.311,beat,230,
197.169,beat,231,
198.026,beat,232,
198.75,segment,29,0.132
198.75,phrase,59,0.173
198.883,beat,233,
198.883,bar,59,
199.74,beat,234,
200.597,beat,235,
